date,date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction,is_Day
1991-10-05,1991-10-05,25.2625,50.375,13.570833333333333,0.0,0.0,0.0,1009.1374999999999,944.3791666666666,7.833333333333333,0.0,0.0,26.416666666666668,1.7179166666666665,4.958333333333333,303.375,0.5
1991-10-06,1991-10-06,25.245833333333334,49.125,13.304166666666667,0.0,0.0,0.0,1009.3041666666667,944.525,0.9166666666666666,0.0,0.0,3.0833333333333335,1.7445833333333332,5.075,308.9166666666667,0.5
1991-10-07,1991-10-07,25.129166666666666,53.375,14.379166666666668,0.0,0.0,0.0,1008.4833333333332,943.7375000000001,1.2083333333333333,0.0,0.0,3.9583333333333335,1.6304166666666668,5.591666666666666,304.2916666666667,0.5
1991-10-08,1991-10-08,25.162499999999998,61.458333333333336,16.175,0.0,0.0,0.0,1008.4666666666667,943.7208333333333,0.041666666666666664,0.0,0.0,0.125,1.4266666666666667,4.508333333333334,235.125,0.5
1991-10-09,1991-10-09,24.766666666666666,71.875,18.366666666666667,0.0,0.0,0.0,1009.1625,944.2833333333333,19.333333333333332,16.75,7.0,0.25,1.0799999999999998,5.7375,280.3333333333333,0.5
1991-10-10,1991-10-10,24.787499999999998,75.25,19.2,0.004166666666666667,0.004166666666666667,0.0,1010.6333333333333,945.6666666666666,29.833333333333332,26.75,9.083333333333334,1.2083333333333333,0.9625,6.245833333333334,285.8333333333333,0.5
1991-10-11,1991-10-11,24.358333333333334,73.125,18.3125,0.0,0.0,0.0,1010.8291666666668,945.775,25.375,18.5,14.208333333333334,0.7083333333333334,1.0083333333333333,6.5375000000000005,292.7083333333333,0.5
1991-10-12,1991-10-12,24.875,69.125,17.845833333333335,0.0,0.0,0.0,1009.3291666666668,944.4708333333333,30.583333333333332,9.708333333333334,29.958333333333332,12.916666666666666,1.1616666666666666,5.770833333333333,276.5,0.5
1991-10-13,1991-10-13,24.570833333333336,71.125,18.041666666666668,0.0,0.0,0.0,1008.725,943.8416666666667,27.958333333333332,15.125,21.166666666666668,5.25,1.0620833333333335,7.825,268.875,0.5
1991-10-14,1991-10-14,23.712500000000002,71.41666666666667,17.304166666666667,0.0,0.0,0.0,1009.9,944.7583333333333,15.375,14.5,3.0416666666666665,1.375,1.0050000000000001,9.916666666666666,246.04166666666666,0.5
1991-10-15,1991-10-15,23.541666666666668,70.125,17.095833333333335,0.0,0.0,0.0,1012.5500000000001,947.2208333333333,20.375,8.958333333333334,18.458333333333332,3.7916666666666665,1.0062499999999999,5.8,233.29166666666666,0.5
1991-10-16,1991-10-16,25.104166666666668,59.041666666666664,16.041666666666668,0.0,0.0,0.0,1013.4791666666666,948.3958333333334,20.666666666666668,0.125,34.333333333333336,0.0,1.4283333333333335,7.6499999999999995,80.5,0.5
1991-10-17,1991-10-17,25.912499999999998,53.541666666666664,15.195833333333333,0.0,0.0,0.0,1012.8208333333333,947.9583333333334,14.625,0.0,24.416666666666668,0.0,1.6833333333333333,8.725,90.70833333333333,0.4583333333333333
1991-10-18,1991-10-18,25.691666666666666,53.833333333333336,14.987499999999999,0.0,0.0,0.0,1012.9875000000001,948.0541666666667,14.375,0.0,23.75,0.041666666666666664,1.6841666666666668,7.733333333333333,112.16666666666667,0.4583333333333333
1991-10-19,1991-10-19,25.9375,52.541666666666664,14.924999999999999,0.0,0.0,0.0,1013.2791666666667,948.3833333333333,12.166666666666666,0.0,20.375,0.125,1.7470833333333333,8.054166666666667,100.875,0.4583333333333333
1991-10-20,1991-10-20,25.495833333333334,49.416666666666664,13.3375,0.0,0.0,0.0,1012.0208333333334,947.1083333333332,7.375,0.0,12.375,0.0,1.8399999999999999,7.391666666666667,69.83333333333333,0.4583333333333333
1991-10-21,1991-10-21,25.59583333333333,52.75,14.512500000000001,0.0,0.0,0.0,1012.0375,947.1541666666667,16.0,0.0,26.625,0.0,1.7158333333333333,6.25,124.83333333333333,0.4583333333333333
1991-10-22,1991-10-22,25.825,47.916666666666664,13.5875,0.0,0.0,0.0,1012.6583333333333,947.7833333333333,19.875,0.0,27.875,10.708333333333334,1.8475,8.604166666666666,90.5,0.4583333333333333
1991-10-23,1991-10-23,25.866666666666664,39.458333333333336,10.637500000000001,0.0,0.0,0.0,1012.5416666666666,947.6708333333332,18.0,0.0,10.75,38.333333333333336,2.1170833333333334,10.020833333333334,83.375,0.4583333333333333
1991-10-24,1991-10-24,25.516666666666666,36.75,8.9125,0.0,0.0,0.0,1011.7041666666668,946.8291666666668,12.291666666666666,0.0,0.16666666666666666,40.541666666666664,2.2120833333333336,10.558333333333334,79.66666666666667,0.4583333333333333
1991-10-25,1991-10-25,24.712500000000002,38.083333333333336,8.424999999999999,0.0,0.0,0.0,1011.4625,946.4250000000001,0.041666666666666664,0.0,0.0,0.08333333333333333,2.1149999999999998,9.6875,80.83333333333333,0.4583333333333333
1991-10-26,1991-10-26,23.983333333333334,41.458333333333336,9.195833333333333,0.0,0.0,0.0,1012.1374999999999,946.9083333333333,0.08333333333333333,0.0,0.0,0.16666666666666666,1.9366666666666668,8.6625,82.45833333333333,0.4583333333333333
1991-10-27,1991-10-27,24.25,39.458333333333336,8.666666666666666,0.0,0.0,0.0,1012.2583333333333,947.0749999999999,0.0,0.0,0.0,0.0,2.0108333333333333,10.070833333333333,80.91666666666667,0.4583333333333333
1991-10-28,1991-10-28,24.183333333333334,39.416666666666664,8.4625,0.0,0.0,0.0,1009.9583333333334,944.9041666666667,1.875,0.0,0.0,6.291666666666667,2.0120833333333334,12.679166666666667,79.29166666666667,0.4583333333333333
1991-10-29,1991-10-29,24.320833333333336,37.166666666666664,7.925,0.0,0.0,0.0,1009.2541666666666,944.2708333333334,23.0,0.0,0.0,76.91666666666667,2.063333333333333,13.362499999999999,74.45833333333333,0.4583333333333333
1991-10-30,1991-10-30,24.05,37.083333333333336,7.6875,0.0,0.0,0.0,1010.0416666666666,944.9625,19.416666666666668,0.0,0.0,64.66666666666667,2.0395833333333333,12.795833333333334,68.25,0.4583333333333333
1991-10-31,1991-10-31,23.708333333333332,35.166666666666664,6.595833333333334,0.0,0.0,0.0,1011.4666666666667,946.2125,2.875,0.0,0.0,9.625,2.05875,12.541666666666666,67.25,0.4583333333333333
1991-11-01,1991-11-01,23.53333333333333,36.75,7.083333333333333,0.0,0.0,0.0,1012.0,946.6833333333334,8.5,0.0,0.0,28.083333333333332,1.99625,11.379166666666668,72.5,0.4583333333333333
1991-11-02,1991-11-02,23.162499999999998,37.208333333333336,6.704166666666667,0.0,0.0,0.0,1012.6125000000001,947.1750000000001,10.416666666666666,0.0,0.0,34.333333333333336,1.95875,9.845833333333333,69.875,0.4583333333333333
1991-11-03,1991-11-03,22.116666666666664,46.25,8.933333333333334,0.0,0.0,0.0,1012.5833333333334,946.9250000000001,2.0833333333333335,0.0,0.0,6.791666666666667,1.6345833333333333,8.0,86.25,0.4583333333333333
1991-11-04,1991-11-04,23.008333333333336,49.875,11.033333333333333,0.0,0.0,0.0,1013.2208333333333,947.7083333333334,0.2916666666666667,0.0,0.5,0.0,1.5941666666666665,6.991666666666667,128.83333333333334,0.4583333333333333
1991-11-05,1991-11-05,22.96666666666667,49.25,10.670833333333334,0.0,0.0,0.0,1013.5166666666668,947.9791666666666,0.0,0.0,0.0,0.0,1.6375,6.945833333333333,161.08333333333334,0.4583333333333333
1991-11-06,1991-11-06,23.416666666666668,50.625,11.470833333333333,0.0,0.0,0.0,1014.9958333333334,949.4583333333334,13.208333333333334,0.0,21.958333333333332,0.0,1.63875,6.7749999999999995,132.58333333333334,0.4583333333333333
1991-11-07,1991-11-07,23.59583333333333,55.166666666666664,12.216666666666667,0.0,0.0,0.0,1015.0375,949.5333333333333,18.125,0.0,30.208333333333332,0.0,1.5266666666666666,6.2,197.41666666666666,0.4583333333333333
1991-11-08,1991-11-08,23.291666666666668,64.45833333333333,15.241666666666667,0.0,0.0,0.0,1013.4166666666666,947.9625,18.0,0.08333333333333333,29.833333333333332,0.041666666666666664,1.1720833333333334,6.141666666666667,198.29166666666666,0.4583333333333333
1991-11-09,1991-11-09,22.854166666666668,56.666666666666664,12.966666666666667,0.0,0.0,0.0,1013.9916666666667,948.4083333333333,16.833333333333332,0.20833333333333334,27.75,0.0,1.3445833333333335,5.129166666666667,173.66666666666666,0.4583333333333333
1991-11-10,1991-11-10,23.295833333333334,51.583333333333336,11.924999999999999,0.0,0.0,0.0,1014.775,949.225,12.166666666666666,0.0,20.166666666666668,0.0,1.5345833333333332,5.558333333333334,149.66666666666666,0.4583333333333333
